wort,wortart
ab,Präposition
Abend,Substantiv
aber,Partikel
abfahren,Verb
Abfahrt,Substantiv
abfliegen,Verb
Abflug,Substantiv
abgeben,Verb
abholen,Verb
Absender,Substantiv
Absenderin,Substantiv
Achtung,Substantiv
Adresse,Substantiv
all*,Adverb
allein,Adverb
also,Adverb
alt,Adjektiv
Alter,Substantiv
an sein,Kollokation
an,Präposition
anbieten,Verb
ander*,Pronomen
Anfang,Substantiv
anfangen,Verb
Angebot,Substantiv
anklicken,Verb
ankommen,Verb
ankreuzen,Verb
Ankunft,Substantiv
anmachen,Verb
anmelden,Verb
Anmeldung,Substantiv
Anrede,Substantiv
Anruf,Substantiv
Anrufbeantworter,Substantiv
anrufen,Verb
Ansage,Substantiv
Anschluss,Substantiv
Antwort,Substantiv
Antwortbogen,Substantiv
antworten,Verb
Anzeige,Substantiv
anziehen,Verb
Apartment,Substantiv
Apfel,Substantiv
Appetit,Substantiv
April,Substantiv
Arbeit,Substantiv
arbeiten,Verb
arbeitslos,Adjektiv
Arbeitslose ♀,Substantiviertes Adjektiv
Arbeitslose ♂,Substantiviertes Adjektiv
Arbeitsplatz,Substantiv
Arm,Substantiv
Arzt,Substantiv
auch,Adverb
auf sein,Kollokation
Auf Wiedersehen,Idiom
auf,Adverb
auf,Präposition
Aufgabe,Substantiv
aufhören,Verb
aufstehen,Verb
Aufzug,Substantiv
Auge,Substantiv
August,Substantiv
aus sein,Kollokation
aus,Adverb
aus,Präposition
Ausflug,Substantiv
ausfüllen,Verb
Ausgang,Substantiv
Auskunft,Substantiv
Ausland,Substantiv
Ausländer,Substantiv
Ausländerin,Substantiv
ausländisch,Adjektiv
ausmachen,Verb
Aussage,Substantiv
aussehen,Verb
aussteigen,Verb
Ausweis,Substantiv
ausziehen,Verb
Auto,Substantiv
Autobahn,Substantiv
Automat,Substantiv
automatisch,Adjektiv
Ärztin,Substantiv
Baby,Substantiv
Bäckerei,Substantiv
Bad,Substantiv
baden,Verb
Bahn,Substantiv
Bahnhof,Substantiv
Bahnsteig,Substantiv
bald,Adverb
Balkon,Substantiv
Banane,Substantiv
Bank_1,Substantiv
Bank_2,Substantiv
bar,Adjektiv
Bauch,Substantiv
Baum,Substantiv
Beamte ♀,Substantiviertes Adjektiv
Beamte ♂,Substantiviertes Adjektiv
Beamtin,Substantiv
bedeuten,Verb
beginnen,Verb
bei,Präposition
beide,Pronomen
Bein,Substantiv
Beispiel,Substantiv
bekannt,Adjektiv
Bekannte ♀,Substantiviertes Adjektiv
Bekannte ♂,Substantiviertes Adjektiv
bekommen,Verb
benutzen,Verb
Beruf,Substantiv
besetzt,Adjektiv
besichtigen,Verb
best*,Adjektiv
bestellen,Verb
besuchen,Verb
Bett,Substantiv
bezahlen,Verb
Bier,Substantiv
Bild,Substantiv
billig,Adjektiv
Birne,Substantiv
bis,Präposition
bisschen,Pronomen
bitte,Partikel
Bitte,Substantiv
bitten,Verb
bitter,Adjektiv
blau,Adjektiv
bleiben,Verb
Bleistift,Substantiv
Blick,Substantiv
Blume,Substantiv
böse,Adjektiv
brauchen,Verb
braun,Adjektiv
breit,Adjektiv
Brief,Substantiv
Briefmarke,Substantiv
bringen,Verb
Brot,Substantiv
Brötchen,Substantiv
Bruder,Substantiv
Buch,Substantiv
Buchstabe,Substantiv
buchstabieren,Verb
Bus,Substantiv
Butter,Substantiv
