wort,tags,hinweis,fremd:en,fremd_hinweis:en,fremd:hu,fremd_hinweis:hu
Abend,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Abenteuerlust,"UD::Aspekte::B2,UD::UniLeipzig::16",,the love of adventure,,kalandvágy,
abfahren,"UD::Goethe::A1,UD::UniLeipzig::14",,,,,
Abfahrt,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
abfliegen,"UD::Goethe::A1,UD::UniLeipzig::17",,,,,
Abflug,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
abgeben,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
abholen,"UD::Goethe::A1,UD::UniLeipzig::12",,to pick up (something),as in to collect,elhozni; elvinni,
Absender,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
Absenderin,"UD::Goethe::A1,UD::UniLeipzig::18",,,,,
Achtung,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Adresse,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Alter,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
anbieten,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Anfang,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
anfangen,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Angebot,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
anklicken,"UD::Goethe::A1,UD::UniLeipzig::16",,,,,
ankommen,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
ankreuzen,"UD::Goethe::A1,UD::UniLeipzig::17",,,,,
Ankunft,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
anmachen,"UD::Goethe::A1,UD::UniLeipzig::17",,,,,
anmelden,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Anmeldung,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Anrede,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
Anruf,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Anrufbeantworter,"UD::Goethe::A1,UD::UniLeipzig::16",,,,,
anrufen,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
Ansage,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
